Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Director,Supply Chain,Your 10 year tenure,"Scrolling through the Carlisle Interconnect Technologies team on LinkedIn, your profile really stood out, not only because of your 10 year tenure there, but because of your accomplishments in that time. I'd love the opportunity to connect.",Unresponsive,6/7/2022,
Manager,Logistics,Your labor management insight,"Caught your article, ""Crocs And Manhattan Find The Perfect Fit,"" and would love to hear more of your insight on labor management.",Unresponsive,,
Vp,Supply Chain,Your experience- supply chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,,
Director,Supply Chain,Your opinion is needed,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,,
Vp,Supply Chain,Your feature- Drinking Water Month,"Saw your feature in the article, ""Culligan International Celebrates National Drinking Water Month,"" and felt compelled to reach out. Your point that this is the perfect time to educate consumers on the safety of drinking water was excellent and I'd love to connect.",Unresponsive,5/30/2022,
Director,Logistics,Rebrand and Logistics,"Just read an article, ""FTD Unveils Full Creative Rebrand Focused on More Meaningful Giving,"" which led me to look up the team. Your years of expertise in logistics are what compelled me to reach out.",Interested,7/25/2022,6/30/2022
Director,Supply Chain,Your Penn State Master's,A Master's Degree from Penn State and an incredible career in Supply Chain Management- I can't think of a better person to connect with.,Interested,7/25/2022,6/14/2022
Vp,Supply Chain,Your feature- Safety and Mental Health,"Caught your feature in the article, ""SPX FLOW Launches New Initiative to Focus on Safety and Mental Health,"" and really liked your point that stress can lead to a lack of focus and it is a priority of SPX FLOW to ensure team members feel supported.",Unresponsive,,
Director,Logistics,Your 20 years at TPI Composites,"Scrolling through the TPI Composites team on LinkedIn, your profile really stood out not only because of your incredible 20 year career there, but also because of your accomplishments in that time- going from Design Engineer to Senior Director of Engineering.",Unresponsive,8/1/2022,
Director,Logistics,Leadership in Transportation,"Like you, I intend to be a leader in the ever-changing world of global transportation ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Attempting To Contact,7/18/2022,
Manager,Logistics,Your knowledge- transportation management,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your knowledge of transportation and logistics management.,Unresponsive,,
Vp,Logistics,Pleased to connect,"You appear to have mastered the field of logistics and supply chain management, and I'd be pleased to connect. I'd love to hear your insight on my company as we plan our next steps forward.",Unresponsive,6/3/2022,
Vp,Supply Chain,Your Leadership Style,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,6/17/2022,
Manager,Supply Chain,Your leadership in logistics,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in logistics.,Not Interested,6/7/2022,6/7/2022
Director,Supply Chain,Your MBA from SMU,An MBA from SMU and an incredible career in supply chain operations- I can't think of a better person to reach out to. I'd be so thrilled to connect and hear your perspective on my company as we plan our next steps forward.,Attempting To Contact,6/3/2022,
Director,Logistics,Your 18 year tenure,"Scrolling through the MTD Products team on LinkedIn, I was completely floored by your tenure there. Your progression over the last 18 years from Logistics Manager to Director of Global Logistics is so impressive, and I'd love to connect.",Unresponsive,5/30/2022,
Director,Logistics,Founder Gathering Feedback,"Although I'll, unfortunately, most likely be lumped into the masses of ""outsourced engineering teams or solutions"" that clog your inbox, I am not trying to sell you on anything.  I'm attempting to gather feedback on a project I've been working on and would genuinely value your input.",Unresponsive,6/17/2022,
Director,Supply Chain,Your expertise in global supply chain,"Given your expertise in global supply chain operations, I'd be thrilled to have an opportunity to connect. I believe I could learn from your experience, and would truly appreciate your insight.",Unresponsive,5/26/2022,
Vp,Supply Chain,Your career at Crestron Electronics,"Looking through the Crestron Electronics team on LinkedIn, your profile really stood out because of your incredible career there- from Program Manager of Contract Manufacturing to VP of Supply Chain, your progression has been astounding.",Interested,7/29/2022,5/31/2022
Vp,Logistics,Your logistics expertise,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your deep understanding of distribution and logistics.,Unresponsive,6/4/2022,
Manager,Supply Chain,Your endorsements,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in SAP.,Unresponsive,7/12/2022,
Director,Supply Chain,Supply Chain Team,"Just saw your feature in the article, ""Supply Chain Team Carries Nordson Through Challenging Times,"" and really liked your point that man-power is lacking in production facilities.",Attempting To Contact,,
Vp,Logistics,Your leadership in inventory control,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in inventory control and operations management.,Unresponsive,5/30/2022,
Vp,Supply Chain,"Your ""Growth- Oriented Mentorship""","Scrolling through the PGT Innovations team on LinkedIn, your profile really stood out because of your leadership style- specifically your commitment to employee engagement and development and ""growth- oriented mentorship.""",Unresponsive,,
Vp,Supply Chain,Your tenure at Quanex,"Looking through the Quanex Building Products Corporation Team on LinkedIn, your profile really stood out because of your tenure there, as well as the sheer amount that you have been able to accomplish over the last 17 years. Kudos!",Unresponsive,6/4/2022,
Head,Supply Chain,Your insight and planning,"Given your expertise in supply chain management and optimization, you'd be the perfect person to speak with. I'd be thrilled to have an opportunity to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,,
Vp,Supply Chain,Shiloh Industries' Carbon Footprint,"Saw your feature in the article, ""Shiloh Industries Reaches New Sustainability Milestone"" from back in 2020 and really liked your point that you're aligning yourselves with partners focused on reducing their carbon footprint- excellent work!",Unresponsive,6/16/2022,
Vp,Supply Chain,New facility in GA,"Caught your feature in the article, ""Hillman Group plans new multi-use facility in Georgia.""- very exciting news.",Unresponsive,,
Director,Logistics,Supply chain expert,"You seem to be an expert in supply chain management, and I'd really appreciate your insight on a project of mine.",Hot on the Hook,6/17/2022,6/14/2022
Vp,Supply Chain,Your feature- ACS adopting programs,"Saw your feature in the article, ""ACS Industries, Inc. Adopts TrueCommerce Supplier Enablement and EDI Solutions,"" and felt compelled to reach out. I'd love to hear more on its assistance in optimizing B2B distribution programs.",Interested,7/29/2022,6/6/2022
Director,Logistics,Your promotion- congrats,"Congratulations on your promotion to Director of Logistics and Distribution at Firestone Building Products- such exciting news and so well-deserved, given your incredible work as Manager of Logistics and Distribution over the past 6 years.",Unresponsive,6/17/2022,
Director,Supply Chain,Your leadership- Supply Chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,6/22/2022,
Director,Logistics,Your expertise in transportation mgmt,"Given your expertise in transportation and logistics management, I'd be thrilled to have an opportunity to hear your insight on my company as we plan our next steps forward.",Attempting To Contact,5/26/2022,
Manager,Logistics,New Position ??,Congratulations on your new role as Senior Manager of Transportation Operations at Clorox- such exciting news.,Unresponsive,7/18/2022,
Head,Supply Chain,Supply Chain Head,"Given your new position as Supply Chain Head at Clorox and your incredible expertise in the field, I'd be so grateful for an opportunity to hear your industry insight.",Unresponsive,,
Vp,Supply Chain,Pleased to Connect,You appear to have mastered the field of supply chain and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.,Unresponsive,,
Manager,Supply Chain,17 Years @ Clorox,17 years at Clorox- Incredible! Your years of experience in supply chain make your insight so valuable- I'd love to hear your thoughts on a project of mine.,Attempting To Contact,,
Director,Supply Chain,27 Years at Clorox,Completely floored by your 27 years at Clorox- incredible! I'd be so thrilled to have an opportunity to hear your valuable supply chain insight as my company plans our next steps forward.,Unresponsive,7/26/2022,
Manager,Supply Chain,Supply Chain Expert,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile while down a rabbit hole last night and felt compelled to reach out.",Unresponsive,7/20/2022,
Manager,Supply Chain,Supply Chain at Clorox,"Completely floored by your expertise in supply chain at Clorox, I'd love to hear your industry insight.",Unresponsive,7/20/2022,
Director,Logistics,Transport Ops,"Given your new position as Director of Global Transportation at Clorox, and your incredible experience in transportation operations, I'd be so thrilled to have an opportunity to connect.",Unresponsive,7/20/2022,
Manager,Supply Chain,36 Years at Clorox,"Your 36 years of experience at Clorox is incredible, and must lead to incredible industry insight. I'd be so thrilled to have an opportunity to connect.",Unresponsive,7/20/2022,
Manager,Supply Chain,Supply Chain Expert,You appear to have mastered the field of supply chain management and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.,Attempting To Contact,,
Director,Supply Chain,Supply Chain Finance,"Your expertise in supply chain finance is incredible, and I'd love to hear your industry insight.",Unresponsive,,
Manager,Supply Chain,Expert Feedback,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile while down a rabbit hole last night and felt compelled to reach out.",Unresponsive,,
Vp,Supply Chain,25+ Year Career,Your 25+ year career in supply chain is commendable and I'd be so grateful for an opportunity to hear your expert insight on my company as we plan next steps.,Unresponsive,,
Director,Logistics,Congratulations,Congratulations on your new position as Vice President of Logistics at Centric Brands- very exciting news.,Attempting To Contact,,
Vp,Supply Chain,Your MBA,A University of Wisconsin MBA and an incredible career in supply chain finance- Wow. I can't think of a better person to reach out to.,Unresponsive,7/20/2022,
Manager,Logistics,Tristar Products Acquisition,"Just saw an article on Spectrum Brands' acquisition of Tristar Products’ kitchen appliances and cookware business, and found myself wondering how this would affect the companies' transportation logistics- who better to ask than you?",Unresponsive,,
Director,Supply Chain,UC Irvine MBA,"A University of California, Irvine MBA and an incredible career in supply chain operations- I can't think of a better person to reach out to.",Attempting To Contact,,
Manager,Transportation,Your New Role,Congratulations on your new position as Senior Project Manager - Logistics and Transportation for Spectrum Brands- very exciting news.,Unresponsive,,
Vp,Transportation,Jerry Cederlund Recommendation,"Scrolling through your LinkedIn profile, Jerry's recommendation really stood out- ""Mike builds strong diverse teams, understands and develops company strategies and gets the job done."" Awesome.",Unresponsive,7/22/2022,
Director,Supply Chain,Years of Supply Chain,"Given your years of experience in supply chain operations, I'd love to hear your insight on a project of mine.",Attempting To Contact,,
Manager,Logistics,Perpective on Transport,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your expertise in transportation logistics.,Unresponsive,7/20/2022,
Director,Logistics,Leadership in Logistics Ops,You strike me as a man that has spent significant amounts of time contemplating the concept of 'leadership' in logistics operations - I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,7/23/2022,
Head,Supply Chain,Logistics Rabbit Hole,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile while down a rabbit hole last night and felt compelled to reach out.",Unresponsive,,
Manager,Logistics,Your Tagline,"Was scrolling through your LinkedIn bio and loved your tagline- that you ""thrive in leading diverse teams and providing innovative, collaborative solutions to complex issues.""",Unresponsive,,
Director,Supply Chain,Your New Role,Congratulations on your new role as Sr. Director - Global Supply Chain Risk Management for McCormick- very exciting news.,Unresponsive,7/22/2022,
Director,Logistics,Supply Chain Strategies,"One line in your LinkedIn bio really stood out- "" I have demonstrated success in the areas of developing supply chain strategies and contract negotiations that deliver competitive cost advantages."" I'd love to connect and discuss.",Not Interested,7/26/2022,7/22/2022
Manager,Supply Chain,Skilled and Thorough,"Going down the LinkedIn rabbit hole, one line from your bio really stood out- that you're ""Skilled and thorough in analyzing problem situations and finding creative Supply Chain solutions."" I'd be so thrilled to hear your industry insight.",Attempting To Contact,6/28/2022,
Partner,Logistics,Supply Chain Expert,"Going down the LinkedIn rabbit hole, your 25 years of supply chain expertise stood out- I'm looking for supply chain experts like yourself to connect with, to test a few theories.",Unresponsive,7/1/2022,
Partner,Logistics,Smithfield Foods and Ferrara,"Looking for logistics experts to reach out to, I came across your profile and am completely floored by your experience at Smithfield Foods and Ferrara.",Attempting To Contact,6/28/2022,
Director,Logistics,Logistics expertise ??,"Given your years of logistics experience, I'd be thrilled to have an opportunity to connect.",Unresponsive,,
Director,Supply Chain,Your thoughts on Leadership,You strike me as a man that has spent significant amounts of time contemplating the concept of 'leadership' in your role as Director of Supply Chain at Ferrara- I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,6/23/2022,
Director,Supply Chain,Qazzafi Pothiawala Recommendation,"Reading through your LinkedIn recommendations, the one from Qazzafi Pothiawala really stood out, saying that you have an ""eye on key details and great focus on the big picture.""- Fantastic.",Unresponsive,,
Manager,Logistics,Transportation & Logistics,"You appear to have mastered the fields of supply chain, transportation, and logistics, and I'd be pleased to connect.",Unresponsive,7/1/2022,
Director,Logistics,Reynolds transportation,Saw that you're the Director of Transportation for Reynolds- I'd love to have an opportunity to connect with you and pick your brain about a project of mine.,Unresponsive,6/18/2022,
Manager,Supply Chain,Congrats on your new role,"Congratulations on your new position as Senior Manager of Global Supply Chain for Reynolds- such exciting news and so well-deserved, given your incredible work over the last 22 years at Molex.",Attempting To Contact,,
Manager,Logistics,41 years with Reynolds,"Scrolling through the Reynolds team on LinkedIn, your profile really stood out because of your 41 years there- incredible! I'd be so thrilled to have an opportunity to hear your transportation industry insight.",Attempting To Contact,6/22/2022,
Director,Supply Chain,California State MBA,A California State MBA and an awesome career in supply chain for E.J.Gallo- I can't think of a better person to reach out to.,Unresponsive,7/26/2022,
Director,Supply Chain,Supply Chain Logistics,"Your expertise in supply chain logistics is incredible, and I'd love to pick your brain about a project of mine. Your insight would be so valuable.",Unresponsive,7/27/2022,
Director,Supply Chain,Industry Insight,"Given your extensive expertise in supply chain management, I'd love to connect and hear your industry insight as my company plans our next steps forward.",Unresponsive,,
Manager,Logistics,Congrats- your new role,"Congratulations on your new position as Senior Director of Domestic Logistics for GE Appliances- such exciting news and so well-deserved, given your incredible work at Transplace over the past three years.",Unresponsive,6/20/2022,
Director,Logistics,New(ish) role- congrats!,"Congratulations on your new position as Director of Transportation at GE Appliances- such exciting news and so well-deserved, given your incredible work as Senior Ops Manager.",Unresponsive,6/22/2022,
Director,Logistics,Director of Logistics,"Congrats on your (fairly) recent return to the Scotts Miracle Gro company as Director of Logistics- such exciting news and so well-deserved, given your experience there and at The Hawthorne Gardening Company.",Unresponsive,6/17/2022,
Director,Supply Chain,Your New Role ??,"Congratulations on your new position as supply chain director for Scotts Miracle Gro. Very exciting news and so well-deserved, given your experience as national account manager.",Unresponsive,6/17/2022,
Manager,Supply Chain,15 Years at Kohler,"Your 15 years at Kohler is commendable, and must lead to incredible industry insight. I'd be so grateful to hear your expertise in supply chain operations.",Unresponsive,7/24/2022,
Director,Supply Chain,Supply Chain Endorsements,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in logistics and supply chain operations.,Unresponsive,7/20/2022,
Manager,Supply Chain,Schreiber Foods to Kohler,"From Schreiber Foods to Kohler, your career progression and ability to climb the ladder in supply chain operations has been commendable, and I'd be so grateful for an opportunity to chat with you.",Unresponsive,7/20/2022,
Director,Supply Chain,17 Years at Kohler,"17 Years in supply chain at Kohler is incredible, and must lead to incredible industry insight. I'd be so grateful for an opportunity to connect.",Unresponsive,7/14/2022,
Manager,Supply Chain,Rick Allen Recommendation,"Scrolling through your LinkedIn bio, Rick's recommendation really stood out- ""He spent the time to pass his knowledge and allowed them to create processes without repercussions if not perfect.""- Fantastic!",Unresponsive,7/23/2022,
Director,Supply Chain,Founder Seeking Perspective,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your deep understanding of supply chain management.,Attempting To Contact,6/22/2022,
Director,Supply Chain,Distribution & Supply Chain,"Like you, I intend to be a leader in the ever-changing world of global supply chain ops, and I'd be delighted to connect. Considering your years of experience in the field, I'd value your opinion.",Unresponsive,,
Director,Supply Chain,Supply Chain and Ops,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your expertise in supply chain strategy and operations.,Unresponsive,6/14/2022,
Director,Logistics,Impressive Expertise,"Your expertise in eCommerce logistics is so impressive, and I'd be delighted to hear your insight on a project of mine. ",Unresponsive,,
Director,Logistics,University of St. Thomas MBA,An MBA focused in logistics and an incredible career in the field-- I'd be so thrilled to pick your brain for industry insight.,Attempting To Contact,,
Director,Supply Chain,32 Years at Hasbro,"Your 32 years at Hasbro is astonishing, and I'm sure your expertise and industry insight are off the charts. I'd love to hear your thoughts on my company as we plan our next steps.",Attempting To Contact,,
Vp,Logistics,Your New Role,Congratulations on your new position as Vice President- Global Inbound Logistics for Hasbro- very exciting news.,Attempting To Contact,8/19/2022,
Manager,Logistics,Logistics at Hasbro,"Given your incredible experience in logistics for Hasbro, I'd love to hear your industry insight as my company plans our next steps. Your input would be so valuable.",Unresponsive,,
Director,Logistics,Leadership in Logistics,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in logistics and supply chain management.,Unresponsive,7/20/2022,
Vp,Supply Chain,Logistics Expert,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile and felt compelled to reach out.",Unresponsive,7/20/2022,
Director,Logistics,Fifteen Years,"With over fifteen years of experience in Procurement and Supply Chain Management, I can't think of a better person to reach out to- I'd love to hear your perspective on a project of mine.",Attempting To Contact,7/22/2022,
Director,Logistics,A year in your position,"Coming up on a year as senior director of logistics, your insight would be so valuable to my company as we plan next steps.",Unresponsive,7/26/2022,
Director,Logistics,Long Shot Logistics,"Know this is a long shot, but in looking for Logistics professionals to connect with, your profile really stood out- I'd love to hear more about your experience with Hasbro.",Unresponsive,7/23/2022,
Director,Logistics,Nexeo Plastics to J.R.Simplot,"Going from Nexeo Plastics to J.R.Simplot, I'd love to hear your experience. Given your expertise, your insight would be so valuable as my company plans next steps.",Attempting To Contact,7/14/2022,
Manager,Logistics,Your New(ish) Role,Congratulations on your (relatively) new position as Senior International Logistics Manager- very exciting news.,Attempting To Contact,,
Director,Supply Chain,Your New(ish) Role,"Congratulations on your (relatively) new position as Business Partnering Director - Manufacturing and Supply Chain Finance at J.R. Simplot.- Very exciting news and so well-deserved, given your 18 years of incredible work with the company.",Unresponsive,,
Director,Logistics,34 Years @ J.R.Simplot,"34 years with J. R. Simplot is incredible! Your insight would be so valuable, and I'd love to hear your perspective on my company as we plan next steps.",Unresponsive,,
Director,Supply Chain,Compelled to Reach Out,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile and felt compelled to reach out.",Unresponsive,,
Vp,Supply Chain,Well-Rounded,"Having worked in large, publicly traded companies as well as startups, your expertise is incredibly well-rounded, and I'd love to hear more of your experience.",Unresponsive,7/26/2022,
Vp,Supply Chain,Supply Chain Rec's,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership and expertise in supply chain.,Unresponsive,,
Director,Supply Chain,Leadership in Supply Chain,You strike me as a person who has spent significant amounts of time contemplating the concept of 'leadership' in supply chain- I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,,
Director,Supply Chain,Analyzing Next Moves,"Given your expertise in supply chain analytics, I'd love to hear your analysis of my company as we plan our next moves.",Unresponsive,7/23/2022,
Vp,Supply Chain,Understanding Supply Chain,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your deep understanding of supply chain operations.,Unresponsive,,
Manager,Supply Chain,Supply chain analysis,"Given your expertise in supply chain management and data analytics, I'd love to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,,
Director,Supply Chain,Director of Supply Chain Ops,"Congratulations on your new position as Director of Supply Chain Operations at Milwaukee Tool- very exciting news and so well-deserved, given your incredible work over the past 7 years there.",Unresponsive,,
Head,Supply Chain,Your insight and leadership,You strike me as a person who has spent significant amounts of time contemplating the concept of 'leadership' as it relates to supply chain and logistics- I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,6/8/2022,
Manager,Supply Chain,New Role ??,"Congratulations on your (relatively) new position as senior supply chain planning manager at Perrigo Company- very exciting news and so well-deserved, given your incredible work over the past 9 years.",Attempting To Contact,7/8/2022,
Director,Logistics,Global Logistics Experts,"Looking for global logistics experts to reach out to, you seem like the perfect person- I'm looking for insight on my company as we plan our next steps forward.",Unresponsive,7/8/2022,
Director,Supply Chain,New(ish) role- congrats ??,"Congrats on your (relatively) new position as Director of Finance, Global Supply Chain- awesome news.",Unresponsive,6/24/2022,
Vp,Logistics,Your New Position ??,"Congratulations on your new position as SVP of Planning and Logistics at Weber- such exciting news and so well-deserved, given your incredible work over the past 6 years.",Unresponsive,7/1/2022,
Manager,Supply Chain,22 Years at HARMAN,"After 22 years at HARMAN International, it must be an exciting change to be working at Weber- Hope things are starting off well. I'd be so grateful for an opportunity to connect and talk Supply Chain.",Unresponsive,7/1/2022,
Director,Supply Chain,Master of supply chain,You appear to have mastered the field of supply chain management and operations and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.,Attempting To Contact,6/7/2022,
Partner,Supply Chain,Perspective needed,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your expertise in Supply Chain.,Unresponsive,6/25/2022,
Director,Supply Chain,Your expertise- Supply Chain Finance,"Going down the LinkedIn rabbit hole, your expertise in supply chain finance compelled me to reach out. I'd love to hear your perspective on my company as we plan our next steps.",Unresponsive,6/17/2022,
Manager,Supply Chain,Supply Chain Management,"Your experience in supply chain management is astounding, and I'd love the opportunity to connect.",Unresponsive,6/17/2022,
Manager,Logistics,Leadership in Logistics,You strike me as a person invested in team development and effective leadership - I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,,
Director,Supply Chain,Master of supply chain,You appear to have mastered the field of supply chain operations and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.,Unresponsive,,
Director,Logistics,Logistics strategy,"Given your years of experience in supply chain and logistics strategy, I'd be thrilled to hear your insight on my company as we plan our next steps forward.",Unresponsive,,
Director,Supply Chain,Your experience- supply chain,"Scrolling through the Andersen Corporation team on LinkedIn, your profile really stood out because of your impressive experience in supply chain operations. I'd love to connect.",Unresponsive,,
Manager,Supply Chain,Clif Bar Supply Chain,"Saw an article, ""Clif Bar & Company Launches Trailblazers Incubator and Introduces CLIF Pet,"" and thought you'd be the perfect person to talk to about Clif Bar's supply chain operations.",Unresponsive,6/28/2022,
Director,Supply Chain,Clif Bar Trailblazers,"Saw an article, ""Clif Bar & Company Launches Trailblazers Incubator and Introduces CLIF Pet™,"" which led me to look up with Clif Bar team. Your profile really stood out because of your expertise in Supply Chain- I'd be so thrilled to connect.",Unresponsive,,
Manager,Logistics,Gleaners Food Bank of Indiana,"You've got a fantastic career in supply chain, but what really stands out is your exemplary character- I was completely floored by your volunteer work with the Gleaners Food Bank of Indiana.",Unresponsive,,
Manager,Logistics,Awesome Work,Saw that you're now the Director of Global Transportation at Lennox International- Awesome work and Congratulations!,Unresponsive,6/28/2022,
Manager,Logistics,Your thoughts on leadership,You strike me as a man that has spent significant amounts of time contemplating the concept of 'leadership' as it relates to transportation management - I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Attempting To Contact,5/26/2022,
Vp,Logistics,Transportation expertise,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile while down a rabbit hole last night and felt compelled to reach out.",Unresponsive,,
Vp,Supply Chain,Your leadership- Supply Chain,Was looking through your LinkedIn and your endorsements really stood out. They speak to your leadership in supply chain management.,Unresponsive,6/10/2022,
Director,Supply Chain,Master of supply chain execution,"You appear to have mastered the field of supply chain execution, and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.",Unresponsive,6/3/2022,
Vp,Supply Chain,Hearing Your Perspective,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your deep understanding of supply chain operations and logistics.,Unresponsive,,
Director,Supply Chain,One Year at Plexus,"Saw from your LinkedIn that you've been at Plexus for nearly a year- congrats on the anniversary! Hope it's going well so far, and was wondering if you could spare a few moments to share some supply chain operations industry insight.",Unresponsive,,
Vp,Supply Chain,Questions for an expert,"Looking to connect with supply chain experts, and you really appear to fit that description. I'd love to connect.",Unresponsive,,
Director,Supply Chain,Your expert opinion on supply chain,"You appear to be an expert in supply chain solutions, and I'm in need of an expert opinion- I'd be thrilled to have an opportunity to connect with you.",Unresponsive,6/3/2022,
Vp,Supply Chain,Continuously learning,"One line in your LinkedIn bio really stood out- ""Continuously learning and helping others achieve their maximum potential."" Fantastic sentiment and goal.",Attempting To Contact,,
Director,Supply Chain,Change leader,"""I am a change leader adept in building and executing vision and strategy to meet company objectives.""- Such a fantastic line in your LinkedIn bio, I just had to reach out.",Unresponsive,,
Director,Supply Chain,Leadership in supply chain,You strike me as a person committed to solid team leadership in supply chain- I'd value your evaluation on a potential solution I've been working on to assist the thought process.,Unresponsive,,
Vp,Supply Chain,Talking leadership,Leading a 45 person team to support $5billion in annual sales- I'd be so thrilled to talk leadership with you.,Unresponsive,,
Manager,Logistics,Logistics Expertise,"Given your expertise in logistics systems, I'd be so thrilled to have an opportunity to hear your insight on my company as we plan our next steps forward.",Unresponsive,,
Director,Supply Chain,Supply Chain Expert,"Given your expertise in supply chain management, I'd be thrilled to have an opportunity to connect. Your insight on my company would be so valuable as we plan our next steps.",Unresponsive,6/17/2022,
Vp,Supply Chain,Emblem of Expertise,"Going down the LinkedIn rabbit hole, I love that ""Global Supply Chain Optimization"" is your profile header photo- a fantastic emblem of your expertise!",Unresponsive,6/24/2022,
Vp,Supply Chain,Master of supply chain,You appear to have mastered the field of supply chain management and I'd be pleased to connect. You strike me as an ideal professional to exchange ideas with.,Unresponsive,,
Vp,Supply Chain,You speak five languages?,"Scrolling through the Energizer Holdings team on LinkedIn, I really enjoyed reading your bio because it highlights your incredible career in Supply Chain Optimization, with a personal anecdote that you're proficient in five languages- amazing.",Unresponsive,6/14/2022,
Director,Logistics,Rise Through Ranks,"Scrolling through the Energizer team on LinkedIn, I was floored by your rapid rise from senior manager of global logistics to your current position as Sr. Director, Global Continuous Improvement, Logistics, and Strategic Operations.",Attempting To Contact,6/28/2022,
Manager,Supply Chain,Your expertise in supply chain ops,I'd be grateful for an opportunity to hear your perspective on a platform I've been working on. I believe I could learn from your expertise in supply chain operations.,Unresponsive,,
Director,Supply Chain,New(ish) role- congrats,Congratulations on your (relatively) new position as Director of Supply Chain IT and SAP Foundational Services- such exciting news.,Unresponsive,6/14/2022,
Director,Supply Chain,Tech improving lives ??,"Scrolling through your LinkedIn bio, it really stood out that you're ""nterested in how the application of digital technology can make people’s lives better and more productive."" I share that passion and would love to connect.",Unresponsive,,
Director,Supply Chain,Long Shot,"Know this is a long shot, but I'm looking to connect with supply chain and logistics experts for feedback on my new platform. Came across your profile while down a rabbit hole last night and felt compelled to reach out.",Unresponsive,,
Vp,Logistics,Your expertise- logistics,"Given your years of expertise in logistics and fulfillment, I'd be so thrilled to hear your insight on a project of mine.",Unresponsive,,
Director,Supply Chain,Your statement- Employee Potential,"Reading through your LinkedIn bio, I really resonated with your statement, ""I appreciate a company that recognizes the potential of all its employees and is willing to involve them in improving the company's performance.""",Attempting To Contact,,
Manager,Supply Chain,Your insight needed,"Given your expertise in supply chain operations, I'd be so thrilled to hear your insight on a project of mine.",Unresponsive,6/21/2022,
Vp,Logistics,Your CSCP Certification,"Based on your possession of a Certified Supply Chain Professional License, you seem like someone committed to learning and advancing your already-impressive career.",Unresponsive,7/13/2022,
Manager,Supply Chain,Long Shot Supply Chain,"Know this is a long shot, but as I'm looking for supply chain experts to connect with, your experience with Leprino Foods really stands out- I'd love to hear more about your role.",Attempting To Contact,,
Manager,Supply Chain,Tempur Sealy's Supply Chain,"Saw that Tempur-pedic Ranked #1 In customer satisfaction for retail and online mattresses in the J.d. Power 2021 Report, and found myself wondering what Supply Chain challenges the company is facing- Who better to reach out to. than you?",Unresponsive,,
Director,Logistics,Logistics at Tempur Sealy,"Going down the LinkedIn rabbit hole, I was floored by your logistics experience with Tempur Sealy, and would love to pick your brain about a project of mine.",Unresponsive,7/4/2022,
